speed,length,tem,y
5.75,63.92,1444.875,104.052
4.75,64.011,1444.5,104.041
4.875,64.111,1445,104.001
5.25,64.153,1444.75,104.02
6.25,64.237,1444.625,104.054
6.375,64.323,1444.75,104.071
5.75,64.416,1445.75,104.07
6,64.502,1444.875,104.072
5,64.59,1445.125,104.073
5.5,64.679,1445.125,104.084
6.125,64.769,1446.625,104.091
7.625,64.879,1444.75,104.129
8,65,1444.75,104.175
7.75,65.135,1444.75,104.196
6.75,65.237,1445.5,104.154
9.375,65.37,1446.875,104.221
6.25,65.493,1444.625,104.18
9.875,65.607,1444.75,104.233
5.875,65.735,1444.5,104.176
7.625,65.847,1444.5,104.189
9.5,65.989,1444.875,104.23
7.25,66.105,1444.625,104.205
6.125,66.224,1444.625,104.158
7.375,66.354,1445.25,104.193
6.75,66.487,1444.875,104.189
7.25,66.601,1444.625,104.191
7.75,66.728,1444.75,104.186
10.25,66.857,1444.625,104.228
8.625,66.982,1444.875,104.206
8.625,67.119,1444.75,104.241
7.625,67.25,1444.625,104.21
9.875,67.392,1444.875,104.276
7.25,67.531,1444.75,104.238
8.625,67.661,1444.5,104.23
8.75,67.794,1444.75,104.225
8.625,67.941,1444.5,104.224
8.75,68.085,1444.5,104.249
10,68.238,1445.75,104.28
9.5,68.394,1446,104.283
10.125,68.546,1444.625,104.29
8.5,68.683,1444.75,104.245
9.125,68.82,1444.75,104.245
7.625,68.955,1446.125,104.212
9.5,69.106,1446.125,104.265
7.625,69.262,1445.5,104.247
7.75,69.397,1446.625,104.226
7.625,69.537,1444.75,104.203
7,69.681,1444.75,104.18
6,69.788,1444.75,104.123
8.125,69.907,1445.5,104.133
8.125,70.032,1445.5,104.145
8,70.163,1444.75,104.149
5.875,70.263,1445.625,104.092
7.875,70.381,1444.875,104.115
5.125,70.481,1444.75,104.064
6.75,70.586,1444.5,104.078
7,70.698,1444.875,104.086
6.375,70.814,1445.75,104.069
6.5,70.935,1445.875,104.082
6.75,71.044,1445.25,104.082
6.75,71.163,1445.75,104.068
7.5,71.263,1445.625,104.067
6.75,71.358,1444.75,104.056
6.5,71.465,1444.5,104.061
5.25,71.561,1444.5,104.017
4.75,71.642,1444.75,103.999
4.625,71.731,1444.875,103.991
5.5,71.842,1445.625,104.026
5.625,71.931,1445.5,104.002
7.375,72.024,1444.75,104.019
7,72.131,1444.875,104.033
8,72.238,1444.75,104.055
4.625,72.312,1444.375,103.953
6,72.408,1445.875,103.995
5.625,72.484,1444.75,103.972
4.625,72.561,1444.625,103.961
6,72.643,1445.625,103.983
4.75,72.724,1444.625,103.953
5,72.815,1446.625,103.973
5.125,72.906,1445.125,103.981
5.625,72.987,1445.75,103.966
3.625,73.059,1444.625,103.913
5.875,73.136,1444.625,103.944
3.5,73.21,1444.625,103.898
